Designator,Footprint,Quantity,Value,LCSC Part #
AE1,XCVR_NN02-220,1,NN02-220,NN02-220
"C1, C2",0603,2,1.7pF,GJM1555C1H1R7WB01
"C10, C12, C37",0805,3,10uF,
"C11, C20, C28, C31, C39, C7, C8, C9",0603,8,1uF,
"C13, C14, C19, C32, C34, C36, C38",0603,7,0.1uF,
C15,0603,1,4.7uF,
C16,0603,1,1uF,
"C21, C22",0805,2,47uF,
"C23, C25",0603,2,4.7uF,
C24,0603,1,1nF,
"C26, C27, C33, C35",0402,4,15pF,VJ0402D150FXCAJ
"C29, C30",0402,2,56pF,CBR04C560F1GAC
"C3, C6",0603,2,47pF,
C4,0603,1,8.5pF,GJM1555C1H8R5WB01
"D10, D11, D5, D6, D9",0603,5,LED,LG L29K-G2J1-24-Z
F1,0805,1,0805L110WR,0805L110WR
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,12402012E212A
J3,693043020611,1,693043020611,693043020611
J4,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,HIROSE ELECTRIC U.FL-R-SMT-1,U.FL-R-SMT-1
L1,0603,1,2.3nH,LQW15AN2N3G80
L2,0402,1,39NH,LQW15AN39NJ8ZD
L3,1008,1,2.2uH,CVH252009-2R2M
L5,0603,1,7.5NH,LQW15AN7N5G80
L6,0603,1,1.6nH,LQW15AN1N6C80
L8,0402,1, 68 nH ,LQW15AN68NG0ZD
"Q1, Q2",SOIC-8_3.9x4.9mm_P1.27mm,2,FDS6898A,FDS6898A
R1,0603,1,68k,
"R10, R11, R17, R24, R25",0603,5,1M,
"R18, R19, R20, R22, R23",0603,5,100R,
"R2, R3",0603,2,470R,
R5,0603,1,0R,
SW3,SW_Push_1P1T_NO_CK_KMR2,1,KMR223NGLFG,KMR223NGLFG
TH1,0603,1,10k NTC,NTCG163JF103FT1
U2,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,ADS1115IDGS
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm_ThermalVias,1,nPM1300-QEXX,nPM1300-QEAA-R7
U4,SOT-23-5,1,AP7331-20WG-7,AP7331-20WG-7
U5,LGA_9160_16.0x10.5mm,1,nRF9160-SICA,nRF9160-SICA-B1A-R7
U6,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,BME680
U7,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,FT230XQ,FT230XQ
U8,SOT-23-6,1,USBLC6-4SC6,USBLC6-4SC6
U9,SOT-23-6,1,TPS22917DBV,TPS22917DBVR
