Designator,Mid X,Mid Y,Rotation,Layer
AE1,36.993262,-63.001014,90.0,top
C1,55.327801,-74.499594,180.0,top
C10,81.215686,-69.9,90.0,top
C11,71.4,-69.7,180.0,top
C12,81.650883,-65.3,90.0,top
C13,134.738938,-71.655498,90.0,top
C14,134.738938,-68.705498,270.0,top
C15,70.4,-65.9,270.0,top
C16,71.4,-68.2,180.0,top
C19,124.0,-68.6,90.0,top
C2,51.015416,-73.904771,90.0,top
C20,124.0,-71.825,270.0,top
C21,46.6,-52.0,180.0,top
C22,63.83987,-54.5,270.0,top
C23,57.5,-51.3,0.0,top
C24,61.9,-68.0,90.0,top
C25,51.541493,-51.247757,180.0,top
C26,54.484468,-69.658168,0.0,top
C27,54.339411,-70.880942,315.0,top
C28,68.238557,-68.959686,0.0,top
C29,60.3,-69.9,90.0,top
C3,139.2,-56.2,270.0,top
C30,58.8,-71.5,315.0,top
C31,66.9,-55.1,180.0,top
C32,47.25,-54.4,270.0,top
C33,46.09956,-54.26619,270.0,top
C34,62.25,-54.75,270.0,top
C35,61.026703,-54.406959,270.0,top
C36,54.5,-51.25,180.0,top
C37,83.615686,-65.3,90.0,top
C38,138.6,-52.6,270.0,top
C39,137.085527,-52.6,270.0,top
C4,47.8406,-74.499594,180.0,top
C6,139.2,-59.0,90.0,top
C7,131.34,-57.54,90.0,top
C8,128.742508,-54.61601,180.0,top
C9,126.352473,-57.447946,90.0,top
D10,75.515686,-72.2,270.0,top
D11,77.015686,-72.2,270.0,top
D5,94.8,-53.0,90.0,top
D6,99.6,-53.0,90.0,top
D9,74.015686,-72.2,270.0,top
F1,69.0,-63.4,90.0,top
J1,148.5,-61.89,90.0,top
J3,75.815,-55.54,90.0,top
J4,62.8,-72.2,0.0,top
L1,52.893881,-74.499594,180.0,top
L2,55.696977,-71.506167,45.0,top
L3,83.715686,-69.4,90.0,top
L5,46.013705,-73.870771,90.0,top
L6,44.143371,-74.499594,180.0,top
L8,60.3,-71.8,90.0,top
Q1,119.4,-70.6,270.0,top
Q2,97.2,-58.175,0.0,top
R1,73.154378,-62.7,90.0,top
R10,114.925,-72.0,270.0,top
R11,114.925,-69.0,270.0,top
R17,68.225,-67.085,180.0,top
R18,66.925781,-56.566905,180.0,top
R19,66.915057,-58.078948,180.0,top
R2,136.938938,-70.880498,0.0,top
R20,66.925,-59.555,180.0,top
R22,98.0,-53.0,270.0,top
R23,96.4,-53.0,90.0,top
R24,98.805,-62.575,0.0,top
R25,95.805,-62.575,0.0,top
R3,136.938938,-69.480498,0.0,top
R5,124.0,-58.2,0.0,top
SW3,77.4,-62.295085,180.0,top
TH1,70.897162,-62.642763,270.0,top
U2,127.738938,-70.680498,90.0,top
U3,77.015686,-67.2,270.0,top
U4,128.8,-57.4,90.0,top
U5,54.495,-60.8,270.0,top
U6,148.4,-52.04946,180.0,top
U7,135.4,-57.6,180.0,top
U8,63.6,-58.3,270.0,top
U9,64.7,-68.0,0.0,top
